功能点 ID,功能名称,所属模块,飞书文档链接
recv7D8mS7175s,注册落地页,落地页系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/BCGSwCnjIiQlGMkQVQFjDDcxpzE
recv7D8mS7E1kD,绑定落地页,落地页系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/S2pGwLdWCiHuOtkgtcIjHviwpQb
recv7D8mS7M1AV,串关推荐卡片,首页推荐系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/HcPjwuiWfi3Hh3kZALTjwWXOp8b
recv7D8mS7nbmk,中奖订单推荐,首页推荐系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/QaG2wXsurifWAfk2KogjUOwYppd
recv7D8mS74S03,卡片管理后台,首页推荐系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Xra4wrAHTiQ06pknmgKjnLVGpub
recv7D8mS7WsEi,推荐算法,首页推荐系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/OZ5KwjcoHiusG9k4igdjTxAGpRM
recv7D8mS7hDfo,个性化推荐,首页推荐系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/EYH1wGG5eigetOkR5Aujc1WCplg
recv7D8msMb3dZ,角色管理,权限系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/G45cwCsDmifFWUk4uIejIv54pVg
recv7D8msMe5LP,权限管理,权限系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/E5JRwP9VJigYK6k8wgJj5zsMpne
recv7D8msMNHUY,国别设置,国别管理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Q0PvwlyrXiIMbzkgBcqjaIyHpTd
recv7D8msMStDd,多语言,国别管理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/SkQNwhbXSiYI0ikbM8ZjHNYTpeb
recv7D8msMxwB1,流程设置,国别管理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Er11w5mNvi5wFOkSXkUjH0utpMe
recv7D8msMKFeC,功能开关,国别管理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/CSp7wwCsviWe42kVeHXjm7xlpUZ
recv7D8msMklFY,Casino优先级,Casino管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/ZFkKwbpIKiGtFVkFGepjWGegpif
recv7D8msM9MuJ,Casino参数,Casino管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/FReHwPm9BiBQ2ik4g3KjnxGzped
recv7D8msMMxJl,渠道数据查询,投手后台,https://kjpp4yydjn38.jp.larksuite.com/wiki/PmS6wB2uCiMAXrkI0F6jKC0mpec
recv7D8msM6wCj,Pixel绑定,投手后台,https://kjpp4yydjn38.jp.larksuite.com/wiki/Z8n9wqGPCiG4t2kwMumj1FBXpPh
recv7D8msMBQWZ,归因平台对接,投手后台,https://kjpp4yydjn38.jp.larksuite.com/wiki/MPPcwwoRDiu268khbkZj53CwpQg
recv7D8msMhpgn,代理参数配置,代理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/MuLtw1q4ziztbrkgWEojItb9pZN
recv7D8msMI3zy,活动周期,代理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/ZmDIwT7cniWoVzkwFfbjt2qUpvg
recv7D8msM77fo,分享渠道管理,代理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/JQu4wVwf1icj7IkPVg1jcJuWpzb
recv7D8msMfN3Y,分享物料管理,代理系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/GVOtwa1S5iOR9hkrJXAjREpUpYf
recv7D8mS7ooEK,Metabase集成,数据分析,https://kjpp4yydjn38.jp.larksuite.com/wiki/ZyXTwMp8xiQp2hkUXF2jw5Wzptg
recv7D8mS7IQsQ,GA集成,数据分析,https://kjpp4yydjn38.jp.larksuite.com/wiki/AygewGOMCiScZFkIxIbjvPCtpVc
recv7D8mS70QaZ,Adjust/AF数据,数据分析,https://kjpp4yydjn38.jp.larksuite.com/wiki/KLi9wgfCciwO8Sko0eWj2gUZpnf
recv7D8mS7yCca,Pixel数据,数据分析,https://kjpp4yydjn38.jp.larksuite.com/wiki/IyDswrdDNi74ulkKKcgjXUtcpgb
recv7D8mS7m5hy,标签算法,数据分析,https://kjpp4yydjn38.jp.larksuite.com/wiki/XOvLwrZndi3wzIkm9DUj85U4p3d
recv7D8mS7IjXU,业务报表,数据分析,https://kjpp4yydjn38.jp.larksuite.com/wiki/TjXBwTFM3iOxjbk76j6jwUkypTf
recv7D8mS7ovch,多租户系统,商户管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/CWKowB82fi54kRk19CVj9BhbpPf
recv7D8mS7iypV,租户参数配置,商户管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/XmxqwTMG2iOnXMkjlOtjDLBNp8c
recv7D8mS7o8zT,租户信息,商户管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/YIYbwJeKFiKq6HkHkA2jacKqpiH
recv7D8mS7VZin,API接口,商户管理,https://kjpp4yydjn38.jp.larksuite.com/wiki/Gjb3wwwXJik49Fkreewjx5NcpGd
recv7D8nfdRhGy,包网方案,C端包网,https://kjpp4yydjn38.jp.larksuite.com/wiki/Q1kLwTt9iiQmQjkQF87je0vFpQf
recv7D8nfdph5B,定制化,C端包网,https://kjpp4yydjn38.jp.larksuite.com/wiki/Ug3RwyS5ei2Gh5kLNKTjtZ6Fp4b
recv7NG2RNU5KG,聊天室建立,聊天室系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/SigEwY3Qoi6ItmktdIuj7aJIpKb
recv7NG3RpPedi,头像 / 昵称修改,聊天室系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Ay4ywaEGqiZMLokVPzljlnMmpAf
recv7NG7P8nFYS,分赛事群聊天,聊天室系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/MvgvwlsieiwpcJkmMMuj6w7ppob
recv7NGaF2DRD0,推单 / 晒单,聊天室系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/SVAgweZZ0iJbjrkzDCGjq1Jtptf
recv8PeGPfV3eV,,未知模块,https://kjpp4yydjn38.jp.larksuite.com/wiki/Bv3RwAXJXieDdUkPNqWjXjEKpOg
